trip_id,route_id,direction_id
6416034-21_R_99_2102_14:30-SETP2025-21-Semaine-40,21,
6252500-11_A_49_1106_16:10-SETP2025-11-Semaine-37,11,0
6420012-35_A_50_3504_15:17-SETP2025-35-Semaine-35,35,0
6424143-16_R_97_1602_15:39-SETP2025-16-Semaine-35,16,1
6429285-15_A_50_1506_14:54-SETP2025-15-Semaine-11,15,0
6252499-11_R_97_1103_15:49-SETP2025-11-Semaine-37,11,1
6253080-14_A_50_1405_15:40-SETP2025-14-L-Ma-J-V-38,14,0
6102461-63_R_98_6302_14:20-PROJET2025-63-Semaine-72-1101100,63,
6420111-85_R_95_8501_15:55-PROJET2025-85-Semaine-06-1101100,85,1
6424145-16_R_97_1604_16:07-SETP2025-16-Semaine-35,16,1
4603458-83_A_47_8301_16:10-RESEAU2023-83-Semaine-03,83,0
6424194-16_A_50_1605_16:01-SETP2025-16-Semaine-35,16,0
5203710-68_R_99_6803_14:20-PROJET2024-68-Semaine-15,68,
6424161-16_R_97_1603_15:55-SETP2025-16-Semaine-35,16,1
6369772-42_A_5_4203_14:00-PROJET2025-42-Semaine-83,42,
5097932-69_A_45_6901_17:40-PROJET2023-69-Semaine-15,69,0
6412273-71_R_99_7101_12:27-PROJET2025-71-Semaine-80,71,1
6102501-63_A_48_6305_14:50-PROJET2025-63-Semaine-72-1101100,63,0
4669814-62_R_98_6206_14:20-RESEAU2023-62-Semaine-17,62,
6105153-76_R_97_7602_18:55-PROJET2025-76-Semaine-89,76,1
6428922-CE_R_99_CE02_16:40-SETP2025-CE-Semaine-32,CE,1
4603455-83_R_2_8302_15:05-RESEAU2023-83-Semaine-03,83,1
6368789-09_R_99_0902_15:55-PROJET2025-09-Semaine-35,09,1
6369762-42_R_94_4201_17:17-PROJET2025-42-Semaine-83,42,1
6218552-84_R_99_8402_14:31-PROJET2025-84-Semaine-04,84,
4542753-44_R_99_4401_15:03-RESEAU2023-44-Semaine-89,44,1
6402537-32_A_48_3202_15:19-SETP2025-32-Semaine-34,32,0
6420008-35_R_99_3503_15:18-SETP2025-35-Semaine-35,35,1
6411420-70_R_99_7001_15:30-SETP2025-70-Semaine-35,70,1
6170602-L3_R_97__14:16-JANV2025-L3-Semaine-09,L3,1
6253094-14_R_99_1408_15:42-SETP2025-14-L-Ma-J-V-38,14,1
6446586-05_R_49_0506_16:27-SETP2025-05-L-Ma-J-V-38,05,1
4669793-62_A_46_6202_14:00-RESEAU2023-62-Semaine-17,62,
6428455-61_R_99_6105_15:00-PROJET2025-61-Semaine-24,61,1
6402562-32_A_48_3201_16:11-SETP2025-32-Semaine-34,32,0
6327220-17_R_99_1703_15:33-SETP2025-17-L-Ma-J-V-35,17,1
6253033-14_A_50_1407_14:56-SETP2025-14-L-Ma-J-V-38,14,0
5838876-22_A_45_2204_14:30-PROJET2025-22-Semaine-20,22,
6170730-L3_R_97__14:08-JANV2025-L3-Semaine-09,L3,1
6413127-38_A_50_3803_16:18-SETP2025-38-Semaine-41,38,0
6170652-L3_A_48__14:30-JANV2025-L3-Semaine-09,L3,0
6414292-07_A_49_0701_14:38-SETP2025-07-L-Ma-J-V-41,07,0
6414291-07_R_97_0711_14:52-SETP2025-07-L-Ma-J-V-41,07,
6412284-71_A_50_7102_14:40-PROJET2025-71-Semaine-80,71,0
6414294-07_A_49_0704_14:54-SETP2025-07-L-Ma-J-V-41,07,0
6140121-41_A_6_4101_14:54-PROJET2025-41-Semaine-05,41,0
6252447-11_R_98_1108_15:01-SETP2025-11-Semaine-37,11,1
6416476-33_R_99_3305_15:24-SETP2025-33-L-Ma-J-V-36,33,1
5340968-72_A_50_7201_14:30-PROJET2024-72-Semaine-74,72,0
6416050-21_A_50_2105_15:20-SETP2025-21-Semaine-40,21,0
6429329-15_A_50_1502_14:42-SETP2025-15-Semaine-11,15,
6429326-15_R_99_1507_15:16-SETP2025-15-Semaine-11,15,1
6077794-58_A_49_5801_16:30-PROJET2025-58-Semaine-06,58,0
6218521-84_A_50_8401_14:20-PROJET2025-84-Semaine-04,84,
6472689-50_A_50_5003_15:59-PROJET2025-50-Semaine-08,50,0
6402547-32_A_48_3202_14:49-SETP2025-32-Semaine-34,32,0
4759157-47_R_99_4702_18:16-PROJET2023-47-Semaine-10,47,1
6018959-55_A_48_5502_12:29-PROJET2025-55-Semaine-08,55,0
